Energy [eV]	Cross Section	Asymmetry Parameter
30.0	0.06055	2
35.0	0.1357	2
40.0	0.1935	2
40.81	0.201	2
45.0	0.2315	2
50.0	0.2532	2
55.0	0.2629	2
60.0	0.2641	2
65.0	0.2598	2
70.0	0.2519	2
75.0	0.2421	2
80.0	0.2312	2
85.0	0.2201	2
90.0	0.2091	2
95.0	0.1986	2
100.0	0.1885	2
105.0	0.1791	2
110.0	0.1703	2
115.0	0.162	2
120.0	0.1543	2
125.0	0.1471	2
130.0	0.1404	2
132.3	0.1375	2
135.0	0.1341	2
140.0	0.1282	2
145.0	0.1227	2
150.0	0.1175	2
151.4	0.1161	2
155.0	0.1126	2
160.0	0.10800000000000001	2
165.0	0.1036	2
170.0	0.09946	2
175.0	0.09556	2
180.0	0.09187999999999999	2
185.0	0.08839	2
190.0	0.08511	2
195.0	0.08199999999999999	2
200.0	0.07906	2
205.0	0.07628	2
210.0	0.07366	2
215.0	0.07117000000000001	2
220.0	0.06882	2
225.0	0.0666	2
230.0	0.06448999999999999	2
235.0	0.062479999999999994	2
240.0	0.060579999999999995	2
245.0	0.05878	2
250.0	0.05706	2
255.0	0.055420000000000004	2
260.0	0.05385	2
265.0	0.052360000000000004	2
270.0	0.05093	2
275.0	0.04956	2
280.0	0.04824	2
285.0	0.04698	2
290.0	0.04577	2
295.0	0.044610000000000004	2
300.0	0.04348	2
305.0	0.0424	2
310.0	0.04136	2
315.0	0.04036	2
320.0	0.039389999999999994	2
325.0	0.03846	2
340.0	0.03585	2
360.0	0.032760000000000004	2
380.0	0.03007	2
400.0	0.027710000000000002	2
420.0	0.02563	2
440.0	0.023790000000000002	2
460.0	0.02214	2
480.0	0.020669999999999997	2
500.0	0.01934	2
520.0	0.01813	2
540.0	0.01704	2
560.0	0.01605	2
580.0	0.01515	2
600.0	0.01432	2
620.0	0.013569999999999999	2
640.0	0.01287	2
660.0	0.01223	2
680.0	0.011640000000000001	2
700.0	0.011090000000000001	2
720.0	0.010579999999999999	2
740.0	0.0101	2
760.0	0.00965	2
780.0	0.009231999999999999	2
800.0	0.00884	2
850.0	0.007965	2
900.0	0.007214	2
950.0	0.006566	2
1000.0	0.006	2
1041.0	0.005588	2
1050.0	0.005504	2
1100.0	0.005068	2
1150.0	0.004682	2
1200.0	0.004339	2
1250.0	0.004031	2
1253.6	0.0040100000000000005	2
1300.0	0.003754	2
1350.0	0.003505	2
1400.0	0.003278	2
1450.0	0.003073	2
1486.6	0.002935	2
1500.0	0.002886	2
