Energy [eV]	Cross Section	Asymmetry Parameter
440.0	0.1547	2
460.0	0.1516	2
480.0	0.1442	2
500.0	0.1374	2
520.0	0.1315	2
540.0	0.1257	2
560.0	0.1202	2
580.0	0.1152	2
600.0	0.1105	2
620.0	0.106	2
640.0	0.1017	2
660.0	0.09767999999999999	2
680.0	0.09394	2
700.0	0.09039	2
720.0	0.08701	2
740.0	0.08381	2
760.0	0.08077999999999999	2
780.0	0.07793	2
800.0	0.07522000000000001	2
850.0	0.06901	2
900.0	0.06352999999999999	2
950.0	0.058679999999999996	2
1000.0	0.05435	2
1041.0	0.05115	2
1050.0	0.05049	2
1100.0	0.04702	2
1150.0	0.04389	2
1200.0	0.041069999999999995	2
1250.0	0.03852	2
1253.6	0.03834	2
1300.0	0.03619	2
1350.0	0.03406	2
1400.0	0.032119999999999996	2
1450.0	0.03034	2
1486.6	0.02913	2
1500.0	0.0287	2
