Energy [eV]	Cross Section	Asymmetry Parameter
16.7	0.3477	1.983
20.0	0.5634	1.75
21.2	0.664	1.632
25.0	1.0390000000000001	1.297
26.8	1.234	1.17
30.0	1.581	0.9889
35.0	2.073	0.7936
40.0	2.481	0.6663
40.8	2.5380000000000003	0.6502
45.0	2.806	0.5799
50.0	3.0469999999999997	0.5193
55.0	3.201	0.4759
60.0	3.2739999999999996	0.4449
65.0	3.283	0.4232
70.0	3.25	0.4086
75.0	3.194	0.3998
80.0	3.1239999999999997	0.3953
85.0	3.045	0.3942
90.0	2.958	0.3958
95.0	2.866	0.3995
100.0	2.7689999999999997	0.4048
105.0	2.6689999999999996	0.4115
110.0	2.569	0.4193
115.0	2.47	0.4281
120.0	2.372	0.4376
125.0	2.278	0.4477
130.0	2.186	0.4584
132.3	2.144	0.4634
135.0	2.097	0.4693
140.0	2.01	0.4806
145.0	1.926	0.49200000000000005
150.0	1.845	0.5036
151.4	1.8230000000000002	0.5068
155.0	1.767	0.5152
160.0	1.6909999999999998	0.5268
165.0	1.619	0.5384
170.0	1.55	0.55
175.0	1.483	0.5615
180.0	1.42	0.5729
185.0	1.36	0.5843
190.0	1.3019999999999998	0.5955
195.0	1.247	0.6066
200.0	1.194	0.6176
205.0	1.1440000000000001	0.6285
210.0	1.095	0.6392
215.0	1.0490000000000002	0.6497
220.0	1.005	0.66
225.0	0.9634	0.6702
230.0	0.9233	0.6801
235.0	0.8852	0.6899
240.0	0.8488	0.6995
245.0	0.8142	0.7089
250.0	0.7812	0.7181
255.0	0.7497	0.7272
260.0	0.7196	0.7361
265.0	0.691	0.7447
270.0	0.6636	0.7533
275.0	0.6376	0.7616
280.0	0.6126	0.7698
285.0	0.5889	0.7778
290.0	0.5662	0.7856
295.0	0.5445	0.7932
300.0	0.5238	0.8007
305.0	0.504	0.8079999999999999
310.0	0.4851	0.8152
320.0	0.4498	0.8290000000000001
340.0	0.3881	0.8549
360.0	0.3364	0.8784
380.0	0.2928	0.8999
400.0	0.2559	0.9194
420.0	0.2246	0.9372
440.0	0.1979	0.9533
460.0	0.175	0.9678
480.0	0.1553	0.981
500.0	0.1383	0.9929
520.0	0.1235	1.004
540.0	0.1107	1.013
560.0	0.09945	1.022
580.0	0.08959	1.03
600.0	0.08092	1.037
620.0	0.07327	1.043
640.0	0.06649	1.048
660.0	0.06047999999999999	1.053
680.0	0.05513	1.057
700.0	0.05035	1.061
720.0	0.04608	1.064
740.0	0.04225	1.067
760.0	0.0388	1.069
780.0	0.0357	1.071
800.0	0.0329	1.072
850.0	0.027010000000000003	1.074
900.0	0.022369999999999998	1.074
950.0	0.018680000000000002	1.073
1000.0	0.015719999999999998	1.071
1041.0	0.01372	1.068
1050.0	0.013319999999999999	1.067
1100.0	0.011359999999999999	1.063
1150.0	0.00974	1.058
1200.0	0.0084	1.053
1250.0	0.00728	1.047
1253.6	0.007206999999999999	1.046
1300.0	0.006339	1.041
1350.0	0.0055439999999999994	1.034
1400.0	0.004868	1.0270000000000001
1450.0	0.004291	1.02
1486.6	0.003921	1.015
1500.0	0.003796	1.013
