Energy [eV]	Cross Section	Asymmetry Parameter
40.0	0.1962	2
40.8	0.2073	2
60.0	0.2984	2
80.0	0.2611	2
100.0	0.2177	2
120.0	0.1805	2
132.3	0.161	2
140.0	0.1502	2
151.4	0.1359	2
160.0	0.1264	2
180.0	0.10800000000000001	2
200.0	0.09348	2
220.0	0.08167	2
240.0	0.07192	2
260.0	0.06382	2
280.0	0.05706	2
300.0	0.05136	2
320.0	0.0465	2
340.0	0.042319999999999997	2
360.0	0.03868	2
380.0	0.0355	2
400.0	0.03271	2
420.0	0.03025	2
440.0	0.028069999999999998	2
460.0	0.02613	2
480.0	0.024390000000000002	2
500.0	0.02283	2
520.0	0.02141	2
540.0	0.02012	2
560.0	0.01895	2
580.0	0.01788	2
600.0	0.0169	2
620.0	0.016	2
640.0	0.01518	2
660.0	0.014419999999999999	2
680.0	0.01371	2
700.0	0.013059999999999999	2
720.0	0.01245	2
740.0	0.011890000000000001	2
760.0	0.011359999999999999	2
780.0	0.01087	2
800.0	0.010409999999999999	2
850.0	0.009382999999999999	2
900.0	0.008503	2
950.0	0.00774	2
1000.0	0.007076000000000001	2
1041.0	0.006593000000000001	2
1050.0	0.006494	2
1100.0	0.005981	2
1150.0	0.005526	2
1200.0	0.005121	2
1250.0	0.004758	2
1253.6	0.004734	2
1300.0	0.0044340000000000004	2
1350.0	0.00414	2
1400.0	0.0038740000000000003	2
1450.0	0.003633	2
1486.6	0.0034700000000000004	2
1500.0	0.0034130000000000002	2
