Energy [eV]	Cross Section	Asymmetry Parameter
100.0	0.2958	2
120.0	0.2718	2
132.3	0.2583	2
140.0	0.2495	2
151.4	0.2359	2
160.0	0.2254	2
180.0	0.2014	2
200.0	0.1797	2
220.0	0.1612	2
240.0	0.1453	2
260.0	0.1316	2
280.0	0.1195	2
300.0	0.1088	2
320.0	0.09948	2
340.0	0.09128	2
360.0	0.08407	2
380.0	0.07769	2
400.0	0.07201	2
420.0	0.0669	2
440.0	0.062310000000000004	2
460.0	0.05816	2
480.0	0.05441	2
500.0	0.05101	2
520.0	0.04793	2
540.0	0.04512	2
560.0	0.04256	2
580.0	0.04021	2
600.0	0.03804	2
620.0	0.036039999999999996	2
640.0	0.0342	2
660.0	0.03249	2
680.0	0.030910000000000003	2
700.0	0.029439999999999997	2
720.0	0.02808	2
740.0	0.026810000000000004	2
760.0	0.02563	2
780.0	0.02452	2
800.0	0.02348	2
850.0	0.021159999999999998	2
900.0	0.01917	2
950.0	0.01745	2
1000.0	0.01595	2
1041.0	0.01487	2
1050.0	0.01464	2
1100.0	0.01349	2
1150.0	0.01247	2
1200.0	0.011559999999999999	2
1250.0	0.01075	2
1253.6	0.01069	2
1300.0	0.010020000000000001	2
1350.0	0.009363	2
1400.0	0.008768000000000001	2
1450.0	0.008229	2
1486.6	0.007866	2
1500.0	0.00774	2
