energy,cross_section,asymmetry_parameter
10.2,11.14,0.259
15.0,8.099,0.5079
16.7,6.615,0.5932
20.0,4.428,0.7447
21.2,3.85,0.7955
25.0,2.552,0.9436
26.8,2.133,1.008
30.0,1.581,1.115
35.0,1.027,1.267
40.0,0.6902,1.401
40.8,0.6495,1.421
45.0,0.4777,1.52
50.0,0.34,1.624
55.0,0.2482,1.715
60.0,0.1852,1.793
65.0,0.1407,1.859
70.0,0.1085,1.913
75.0,0.08469,1.953
80.0,0.06685,1.98
85.0,0.05331,1.992
90.0,0.04293,1.989
95.0,0.03492,1.968
100.0,0.02868,1.93
105.0,0.02379,1.874
110.0,0.01993,1.798
115.0,0.01687,1.704
120.0,0.01442,1.592
125.0,0.01247,1.464
130.0,0.01089,1.321
132.3,0.01027,1.251
135.0,0.009617,1.168
140.0,0.008586,1.007
145.0,0.007746999999999999,0.8435
150.0,0.007063,0.6809999999999999
151.4,0.006895,0.6362
155.0,0.006504,0.5235
160.0,0.006046,0.3742
165.0,0.005671,0.2359
170.0,0.005362,0.1106
175.0,0.005108,-0.0002549
180.0,0.0049,-0.09618
185.0,0.004728,-0.1771
190.0,0.004586,-0.2436
195.0,0.004468,-0.2964
200.0,0.004371,-0.3368
205.0,0.00429,-0.3659
210.0,0.004222999999999999,-0.385
215.0,0.004166,-0.3954
220.0,0.004118999999999999,-0.3983
225.0,0.004079,-0.3947
230.0,0.004044,-0.3858
235.0,0.004015,-0.3722
240.0,0.003989,-0.3549
245.0,0.003966,-0.3345
250.0,0.003946,-0.3115
255.0,0.003928,-0.2866
260.0,0.003911,-0.2602
265.0,0.003896,-0.2326
270.0,0.003881,-0.2043
275.0,0.003866,-0.1754
280.0,0.003852,-0.1462
285.0,0.003838,-0.117
290.0,0.003823,-0.08782999999999999
295.0,0.003809,-0.0588
300.0,0.003794,-0.0301
305.0,0.003779,-0.001695
320.0,0.003732,0.0808
340.0,0.003664,0.1838
360.0,0.003591,0.2781
380.0,0.003513,0.3635
400.0,0.003431,0.4407
420.0,0.003347,0.5105
440.0,0.0032600000000000003,0.5739
460.0,0.003172,0.6314
480.0,0.003084,0.6839
500.0,0.002995,0.7315
520.0,0.002907,0.7751
540.0,0.002821,0.8151
560.0,0.002736,0.8519
580.0,0.002654,0.8858
600.0,0.002573,0.9171
620.0,0.002495,0.946
640.0,0.002419,0.9728
660.0,0.002346,0.9978
680.0,0.002275,1.021
700.0,0.002206,1.043
720.0,0.002139,1.063
740.0,0.002075,1.082
760.0,0.002012,1.099
780.0,0.001952,1.116
800.0,0.001894,1.132
850.0,0.0017579999999999998,1.167
900.0,0.001634,1.197
950.0,0.001521,1.223
1000.0,0.001418,1.246
1041.0,0.00134,1.262
1050.0,0.001324,1.266
1100.0,0.0012369999999999998,1.283
1150.0,0.001158,1.298
1200.0,0.001086,1.3119999999999998
1250.0,0.001019,1.3230000000000002
1253.6,0.001015,1.324
1300.0,0.0009581,1.334
1350.0,0.0009018,1.3430000000000002
1400.0,0.0008496,1.351
1450.0,0.0008016,1.358
1486.6,0.0007687999999999999,1.3630000000000002
1500.0,0.0007572999999999999,1.365
