energy,cross_section,asymmetry_parameter
10.0,25.5,1.5719999999999998
15.0,17.37,0.1089
16.71,20.45,0.1448
20.0,24.05,0.2572
21.22,24.38,0.3022
25.0,22.37,0.4388
26.86,20.38,0.5024
30.0,16.74,0.6042
35.0,11.8,0.7531
40.0,8.321,0.8894
40.81,7.872000000000001,0.9105
45.0,5.942,1.016
50.0,4.291,1.136
55.0,3.127,1.249
60.0,2.299,1.356
65.0,1.706,1.4580000000000002
70.0,1.279,1.5530000000000002
75.0,0.9689,1.641
80.0,0.7416,1.723
85.0,0.5729,1.796
90.0,0.4463,1.861
95.0,0.3504,1.916
100.0,0.277,1.958
105.0,0.2205,1.984
110.0,0.1767,1.992
115.0,0.1426,1.977
120.0,0.1161,1.935
125.0,0.09541,1.864
130.0,0.07927999999999999,1.759
132.3,0.0731,1.699
135.0,0.0667,1.62
140.0,0.05692000000000001,1.4469999999999998
145.0,0.04934,1.245
150.0,0.0435,1.021
151.4,0.04212,0.9552
155.0,0.03903,0.7837
160.0,0.035660000000000004,0.5455
165.0,0.03315,0.3178
170.0,0.03132,0.1106
175.0,0.03004,-0.069
180.0,0.02918,-0.217
185.0,0.02866,-0.3326
190.0,0.02839,-0.4174
195.0,0.02833,-0.4745
200.0,0.02841,-0.5078
205.0,0.028610000000000007,-0.5216
210.0,0.02889,-0.5196
215.0,0.029230000000000006,-0.5053
220.0,0.0296,-0.4817
225.0,0.03,-0.4512
230.0,0.0304,-0.4157
235.0,0.03081,-0.3768
240.0,0.03122,-0.3357
245.0,0.03161,-0.2932
250.0,0.03199,-0.2502
255.0,0.03235,-0.2071
260.0,0.03269,-0.1643
265.0,0.033,-0.1221
270.0,0.03329,-0.08084
275.0,0.03356,-0.04055
280.0,0.03381,-0.001385
285.0,0.03402,0.03661
290.0,0.03422,0.07339
295.0,0.03438,0.1089
300.0,0.03453,0.1432
305.0,0.03465,0.1763
320.0,0.03489,0.2686
340.0,0.03494,0.3769
360.0,0.03475,0.4708
380.0,0.03436,0.5528
400.0,0.03381,0.6248
420.0,0.03314,0.6882
440.0,0.03238,0.7443
460.0,0.031560000000000005,0.7943
480.0,0.0307,0.8390000000000001
500.0,0.02982,0.8792
520.0,0.02893,0.9156
540.0,0.02804,0.9487
560.0,0.02715,0.9788
580.0,0.02628,1.006
600.0,0.02542,1.031
620.0,0.02459,1.054
640.0,0.023780000000000003,1.0759999999999998
660.0,0.02299,1.095
680.0,0.02223,1.113
700.0,0.02149,1.13
720.0,0.02078,1.146
740.0,0.02008,1.16
760.0,0.01942,1.1740000000000002
780.0,0.01878,1.186
800.0,0.01816,1.198
850.0,0.01672,1.224
900.0,0.0154,1.245
950.0,0.014219999999999997,1.264
1000.0,0.01314,1.28
1041.0,0.01233,1.291
1050.0,0.01216,1.294
1100.0,0.01127,1.305
1150.0,0.01046,1.315
1200.0,0.009728,1.324
1250.0,0.009056,1.331
1253.6,0.009009,1.331
1300.0,0.008440999999999999,1.337
1350.0,0.007878,1.342
1400.0,0.007363,1.346
1450.0,0.006891,1.35
1486.6,0.00657,1.352
1500.0,0.006456999999999999,1.3530000000000002
