energy,cross_section,asymmetry_parameter
10.2,11.4,0.2597
15.0,7.922999999999999,0.5188
16.7,6.426,0.6055
20.0,4.2780000000000005,0.7583
21.2,3.718,0.8093
25.0,2.465,0.9576
26.8,2.061,1.022
30.0,1.528,1.129
35.0,0.9922,1.28
40.0,0.6664,1.414
40.8,0.627,1.4340000000000002
45.0,0.461,1.5319999999999998
50.0,0.328,1.635
55.0,0.2394,1.725
60.0,0.1786,1.802
65.0,0.1356,1.867
70.0,0.1045,1.919
75.0,0.08152000000000001,1.958
80.0,0.06427999999999999,1.983
85.0,0.0512,1.993
90.0,0.0412,1.987
95.0,0.03348,1.964
100.0,0.02748,1.922
105.0,0.02278,1.862
110.0,0.01908,1.7819999999999998
115.0,0.01615,1.6840000000000002
120.0,0.01382,1.567
125.0,0.01195,1.433
130.0,0.01044,1.287
132.3,0.009855,1.215
135.0,0.009233,1.129
140.0,0.008253,0.9657
145.0,0.007456999999999998,0.8
150.0,0.006809,0.6365
151.4,0.00665,0.5916
155.0,0.006281,0.4789
160.0,0.005848,0.3306
165.0,0.005495,0.1942
170.0,0.005205,0.07162
175.0,0.004967,-0.03599
180.0,0.004772,-0.1282
185.0,0.004612,-0.2051
190.0,0.00448,-0.2675
195.0,0.004372,-0.3163
200.0,0.004282,-0.3526
205.0,0.004207,-0.378
210.0,0.004145,-0.3936
215.0,0.004093,-0.4008
220.0,0.0040490000000000005,-0.4008
225.0,0.004012,-0.3946
230.0,0.003981,-0.3833
235.0,0.003954,-0.3676
240.0,0.00393,-0.3483
245.0,0.003909,-0.3262
250.0,0.003891,-0.3017
255.0,0.003874,-0.2755
260.0,0.003858,-0.2479
265.0,0.003843,-0.2194
270.0,0.003829,-0.1902
275.0,0.003815,-0.1607
280.0,0.003801,-0.131
285.0,0.003787,-0.1012
290.0,0.003773,-0.07173
295.0,0.003759,-0.04241
300.0,0.003744,-0.01354
305.0,0.003729,0.01492
320.0,0.003682,0.0978
340.0,0.003615,0.2008
360.0,0.003542,0.2947
380.0,0.003464,0.3796
400.0,0.003382,0.4561
420.0,0.003297,0.5252
440.0,0.003211,0.588
460.0,0.003123,0.6451
480.0,0.003034,0.6968
500.0,0.002945,0.7439
520.0,0.002858,0.7869
540.0,0.002772,0.8262
560.0,0.002688,0.8626
580.0,0.002605,0.8959999999999999
600.0,0.002526,0.9269
620.0,0.002448,0.9554
640.0,0.002373,0.9818
660.0,0.0023,1.006
680.0,0.00223,1.029
700.0,0.0021620000000000003,1.051
720.0,0.002095,1.07
740.0,0.002032,1.089
760.0,0.00197,1.106
780.0,0.001911,1.123
800.0,0.001853,1.138
850.0,0.001719,1.172
900.0,0.001597,1.202
950.0,0.001486,1.227
1000.0,0.001384,1.25
1041.0,0.001307,1.266
1050.0,0.001291,1.269
1100.0,0.001206,1.286
1150.0,0.001129,1.301
1200.0,0.001057,1.314
1250.0,0.0009922000000000002,1.325
1253.6,0.0009878,1.3259999999999998
1300.0,0.0009322,1.336
1350.0,0.000877,1.344
1400.0,0.0008262,1.352
1450.0,0.0007792000000000001,1.359
1486.6,0.0007471,1.364
1500.0,0.0007357,1.365
