energy,cross_section,asymmetry_parameter
40.0,0.3588,2
40.8,0.361,2
60.0,0.3518,2
80.0,0.2863,2
100.0,0.2269,2
120.0,0.1829,2
132.3,0.1613,2
140.0,0.1496,2
151.4,0.1345,2
160.0,0.1247,2
180.0,0.1056,2
200.0,0.0906,2
220.0,0.07868,2
240.0,0.06909,2
260.0,0.06122,2
280.0,0.05465,2
300.0,0.04913,2
320.0,0.04445,2
340.0,0.04044,2
360.0,0.03697,2
380.0,0.03394,2
400.0,0.03129,2
420.0,0.02895,2
440.0,0.02687,2
460.0,0.02502,2
480.0,0.02336,2
500.0,0.02186,2
520.0,0.02051,2
540.0,0.01929,2
560.0,0.01817,2
580.0,0.01715,2
600.0,0.01622,2
620.0,0.01536,2
640.0,0.01457,2
660.0,0.01385,2
680.0,0.01317,2
700.0,0.01255,2
720.0,0.01197,2
740.0,0.01143,2
760.0,0.01092,2
780.0,0.01045,2
800.0,0.01001,2
850.0,0.009025,2
900.0,0.00818,2
950.0,0.007449,2
1000.0,0.006812,2
1041.0,0.0063490000000000005,2
1050.0,0.006254,2
1100.0,0.005762,2
1150.0,0.005325,2
1200.0,0.004937,2
1250.0,0.00459,2
1253.6,0.004566,2
1300.0,0.004278,2
1350.0,0.003997,2
1400.0,0.003743,2
1450.0,0.003512,2
1486.6,0.003357,2
1500.0,0.003302,2
