energy,cross_section,asymmetry_parameter
60.0,0.3333,2
80.0,0.3037,2
100.0,0.2522,2
120.0,0.2087,2
132.3,0.1869,2
140.0,0.1746,2
151.4,0.1583,2
160.0,0.1474,2
180.0,0.1259,2
200.0,0.109,2
220.0,0.09524,2
240.0,0.08392000000000001,2
260.0,0.07458,2
280.0,0.0668,2
300.0,0.06021,2
320.0,0.054570000000000014,2
340.0,0.04971,2
360.0,0.04551,2
380.0,0.04184,2
400.0,0.03862,2
420.0,0.03577,2
440.0,0.03323,2
460.0,0.03096,2
480.0,0.02893,2
500.0,0.02711,2
520.0,0.02546,2
540.0,0.02395,2
560.0,0.022580000000000003,2
580.0,0.02133,2
600.0,0.02019,2
620.0,0.01914,2
640.0,0.01817,2
660.0,0.01728,2
680.0,0.01645,2
700.0,0.01568,2
720.0,0.01497,2
740.0,0.0143,2
760.0,0.01368,2
780.0,0.0131,2
800.0,0.01256,2
850.0,0.01135,2
900.0,0.0103,2
950.0,0.009401,2
1000.0,0.008614,2
1041.0,0.008041,2
1050.0,0.007923000000000001,2
1100.0,0.007312999999999998,2
1150.0,0.006772,2
1200.0,0.006288,2
1250.0,0.005856,2
1253.6,0.005827000000000001,2
1300.0,0.005466,2
1350.0,0.005116,2
1400.0,0.004797,2
1450.0,0.004507,2
1486.6,0.004312,2
1500.0,0.004244,2
